"model","variable"
"gam","bottomt_mean_daily_c"
"gam","bottomt_p95_daily_c"
"gam","daily_std_wave_height_mean_m"
"gam","fe_mean_monthly_1.5m_mmol_m3"
"gam","gebco_2025_n61.0_s34.0_w_10.0_e35.0"
"gam","no_sig_wave_heights_mean"
"gam","no3_mean_monthly_1.5m_mmol_m3"
"gam","nppv_mean_monthly_0.5m_mg_m3_day"
"gam","ph_mean_monthly_1.5m"
"gam","ph_p05_monthly_1.5m"
"gam","phyc_mean_monthly_0.5m_mmol_m3"
"gam","s3a_olci_errnt.20160425_20241231.l3m.cu.chl.chlor_a.4km"
"gam","s3a_olci_errnt.20160425_20241231.l3m.cu.iop.adg_443.4km"
"gam","s3a_olci_errnt.20160425_20241231.l3m.cu.kd.kd_490.4km"
"gam","s3a_olci_errnt.20160425_20241231.l3m.cu.rrs.rrs_443.4km"
"gam","spco2_monthly_mean_pa"
"gam","spco2_monthly_p95_pa"
"gam","surf_fgco2_mean_molc_m2_yr"
"gam","surf_spco2_mean_uatm"
"gam","surf_spco2_p95_uatm"
"gam","sw_ke_mean_cm2_s2"
"gam","uo_p90_1.5m_m_s"
"gam","vo_mean_1.5m_m_s"
"gam","vo_p90_1.5m_m_s"
"gam","wave_height_p95_m"
"gpr","bottomt_mean_daily_c"
"gpr","bottomt_p95_daily_c"
"gpr","daily_std_wave_height_mean_m"
"gpr","fe_mean_monthly_1.5m_mmol_m3"
"gpr","gebco_2025_n61.0_s34.0_w_10.0_e35.0"
"gpr","no_sig_wave_heights_mean"
"gpr","no3_mean_monthly_1.5m_mmol_m3"
"gpr","nppv_mean_monthly_0.5m_mg_m3_day"
"gpr","ph_mean_monthly_1.5m"
"gpr","ph_p05_monthly_1.5m"
"gpr","phyc_mean_monthly_0.5m_mmol_m3"
"gpr","s3a_olci_errnt.20160425_20241231.l3m.cu.chl.chlor_a.4km"
"gpr","s3a_olci_errnt.20160425_20241231.l3m.cu.iop.adg_443.4km"
"gpr","s3a_olci_errnt.20160425_20241231.l3m.cu.kd.kd_490.4km"
"gpr","s3a_olci_errnt.20160425_20241231.l3m.cu.rrs.rrs_443.4km"
"gpr","spco2_monthly_mean_pa"
"gpr","spco2_monthly_p95_pa"
"gpr","surf_fgco2_mean_molc_m2_yr"
"gpr","surf_spco2_mean_uatm"
"gpr","surf_spco2_p95_uatm"
"gpr","sw_ke_mean_cm2_s2"
"gpr","uo_p90_1.5m_m_s"
"gpr","vo_mean_1.5m_m_s"
"gpr","vo_p90_1.5m_m_s"
"gpr","wave_height_p95_m"
"xgb","bottomt_mean_daily_c"
"xgb","bottomt_p95_daily_c"
"xgb","daily_std_wave_height_mean_m"
"xgb","fe_mean_monthly_1.5m_mmol_m3"
"xgb","gebco_2025_n61.0_s34.0_w_10.0_e35.0"
"xgb","no_sig_wave_heights_mean"
"xgb","no3_mean_monthly_1.5m_mmol_m3"
"xgb","nppv_mean_monthly_0.5m_mg_m3_day"
"xgb","ph_mean_monthly_1.5m"
"xgb","ph_p05_monthly_1.5m"
"xgb","phyc_mean_monthly_0.5m_mmol_m3"
"xgb","s3a_olci_errnt.20160425_20241231.l3m.cu.chl.chlor_a.4km"
"xgb","s3a_olci_errnt.20160425_20241231.l3m.cu.iop.adg_443.4km"
"xgb","s3a_olci_errnt.20160425_20241231.l3m.cu.kd.kd_490.4km"
"xgb","s3a_olci_errnt.20160425_20241231.l3m.cu.rrs.rrs_443.4km"
"xgb","spco2_monthly_mean_pa"
"xgb","spco2_monthly_p95_pa"
"xgb","surf_fgco2_mean_molc_m2_yr"
"xgb","surf_spco2_mean_uatm"
"xgb","surf_spco2_p95_uatm"
"xgb","sw_ke_mean_cm2_s2"
"xgb","uo_p90_1.5m_m_s"
"xgb","vo_mean_1.5m_m_s"
"xgb","vo_p90_1.5m_m_s"
"xgb","wave_height_p95_m"
