"method","fold","model","r2","rmse","mae","bias","block_size_m","predictor_set"
"random_split",1,"XGB",0.286062648628419,0.018289674362734,0.00666058913973925,0.00364087458134277,NA,"all"
"random_split",1,"GPR",0.503962086961842,0.00745505837258016,0.00530652118858635,0.00180392476508296,NA,"all"
"random_split",1,"GAM",0.11012809240349,0.0253816920078644,0.0092999939647087,0.00461412468688178,NA,"all"
"random_split",2,"XGB",0.950680488537171,0.00642619790427781,0.00414135337565854,0.000883416174122272,NA,"all"
"random_split",2,"GPR",0.945544837775906,0.00688802983496061,0.00464690615234363,0.00185052091114233,NA,"all"
"random_split",2,"GAM",0.123439295855438,0.0522085225393077,0.0142104108895716,0.00841649573433574,NA,"all"
"random_split",3,"XGB",0.643957760934454,0.0257546146525025,0.00647948700132321,-0.00368560473671494,NA,"all"
"random_split",3,"GPR",0.46068549172225,0.0317048263053786,0.00882762474736107,-0.00478838283957332,NA,"all"
"random_split",3,"GAM",0.344794798514641,0.0346502054626381,0.0120169061824463,-0.00290044966287989,NA,"all"
"random_split",4,"XGB",0.933133093488978,0.0113166216368141,0.00611854902599706,-0.0005031965017091,NA,"all"
"random_split",4,"GPR",0.668892454296401,0.0215430120372279,0.00855211576185951,-0.00184605129435033,NA,"all"
"random_split",4,"GAM",0.0101482127997393,0.144116925960591,0.0263214592484592,0.011147786230606,NA,"all"
"random_split",5,"XGB",0.935402686658634,0.00661308994249894,0.00399456338612324,0.00095037895770617,NA,"all"
"random_split",5,"GPR",0.943250630431721,0.00609689110818367,0.00424893455777641,0.00139425801122793,NA,"all"
"random_split",5,"GAM",0.700244231417497,0.0134769910095545,0.00685197977695333,0.00152267570337747,NA,"all"
"spatial_block_1000m",1,"XGB",0.666294831118079,0.0243236255852961,0.0121896842999418,0.0101372422537244,1000,"all"
"spatial_block_1000m",1,"GPR",0.397153712502462,0.0126893140514513,0.0117015919751937,0.00436873751977814,1000,"all"
"spatial_block_1000m",1,"GAM",0.597850920444588,0.0245094210530757,0.0148151720490956,0.0119398135051889,1000,"all"
"spatial_block_1000m",2,"XGB",0.0832497934258206,0.0684135861733405,0.0300020879744678,0.026144582807989,1000,"all"
"spatial_block_1000m",2,"GPR",0.0380773736154783,0.0306562976217546,0.011125345039079,0.000201850014375269,1000,"all"
"spatial_block_1000m",2,"GAM",0.191611833122971,0.0510487512024847,0.0236218307534552,0.0187044548017164,1000,"all"
"spatial_block_1000m",3,"XGB",0.929750270104079,0.00934740631321794,0.00604289130403536,0.00401729364192837,1000,"all"
"spatial_block_1000m",3,"GPR",0.00186096355926113,0.0237317308951296,0.0130527429657933,0.00656922462493476,1000,"all"
"spatial_block_1000m",3,"GAM",0.610712450970971,0.0179008505607449,0.00677281334370811,-0.0011220358347826,1000,"all"
"spatial_block_1000m",4,"XGB",0.174473427259035,0.0110273476731239,0.00585888233666885,-0.000555637634320061,1000,"all"
"spatial_block_1000m",4,"GPR",0.116956265181968,0.00979962449612137,0.0083859966668394,0.00691563762232922,1000,"all"
"spatial_block_1000m",4,"GAM",0.329665090100144,0.00614398254500986,0.00435262579738719,-0.000972830946686623,1000,"all"
"spatial_block_1000m",5,"XGB",0.539366768725753,0.0495387329388365,0.0258628591911643,-0.0228203654628922,1000,"all"
"spatial_block_1000m",5,"GPR",0.0548776839626573,0.0578528328714556,0.0325527395323577,-0.0255560468855021,1000,"all"
"spatial_block_1000m",5,"GAM",0.00658028456945374,0.0803065618643286,0.0376079393596145,-0.0106294347612886,1000,"all"
"spatial_block_5000m",1,"XGB",0.699746260222021,0.047873841169169,0.0249695973052344,-0.0211136574378312,5000,"all"
"spatial_block_5000m",1,"GPR",0.303092387167299,0.0516034504478218,0.0255445098842645,-0.0173713346315802,5000,"all"
"spatial_block_5000m",1,"GAM",0.019891873159783,0.101885995813199,0.0294329819842579,-0.00390601050606134,5000,"all"
"spatial_block_5000m",2,"XGB",0.0719979057347039,0.0737419508838166,0.0358027279661197,0.0295574514697094,5000,"all"
"spatial_block_5000m",2,"GPR",0.0143428770865666,0.0336959086526869,0.014696588865622,-0.000710922591042397,5000,"all"
"spatial_block_5000m",2,"GAM",0.00818367096221863,0.149650084251617,0.0457882715452286,0.0366881643753743,5000,"all"
"spatial_block_5000m",3,"XGB",0.907151808209957,0.00941686816095982,0.00645693436102008,0.00300968818245723,5000,"all"
"spatial_block_5000m",3,"GPR",0.000263899235914064,0.0215499987790037,0.0115251963960462,0.0061361132902118,5000,"all"
"spatial_block_5000m",3,"GAM",0.481991324942916,0.016752371637363,0.00629562466490663,-0.00148333830281808,5000,"all"
"spatial_block_5000m",4,"XGB",0.540434716587167,0.0114283074467818,0.00785664732186084,-0.00155874703450335,5000,"all"
"spatial_block_5000m",4,"GPR",0.376563677429659,0.0328521160807765,0.021430527510479,0.0140272054726166,5000,"all"
"spatial_block_5000m",4,"GAM",0.636402486509215,0.0399109840889251,0.0240546378340057,0.0214552563972342,5000,"all"
"spatial_block_5000m",5,"XGB",0.484970334636354,0.00538332885978368,0.00430066525886349,0.000714007879664297,5000,"all"
"spatial_block_5000m",5,"GPR",0.0203242796360107,0.0114215279681999,0.0105899466953807,0.00902506680482969,5000,"all"
"spatial_block_5000m",5,"GAM",0.32191714468166,0.00739134474789439,0.00495461222825897,-0.000726733747948212,5000,"all"
