"method","fold","model","r2","rmse","mae","bias","block_size_m","predictor_set"
"random_split",1,"Random Forest",0.278194849750988,0.0100804331407589,0.00845952687867663,0.00523455551667357,NA,"all"
"random_split",1,"XGBoost",0.286062648628419,0.018289674362734,0.00666058913973925,0.00364087458134277,NA,"all"
"random_split",1,"SVM",0.461885761243555,0.00874588079593763,0.00573774881724704,-0.000997710453825661,NA,"all"
"random_split",1,"Neural Network",0.142827499572221,0.0192625515244987,0.00759687822939775,0.00320756572222348,NA,"all"
"random_split",1,"GPR",0.494646693593109,0.00753765740106965,0.0053938885042844,0.00183420714834953,NA,"all"
"random_split",1,"Ordinary Kriging",0.506257830349926,0.00821494996609767,0.00463178353964188,0.0012259935637592,NA,"all"
"random_split",1,"Universal Kriging (env drift)",0.000403063575925343,387.98188663912,52.3076205208273,47.6818646504487,NA,"all"
"random_split",1,"GAM",0.11012809240349,0.0253816920078644,0.0092999939647087,0.00461412468688178,NA,"all"
"random_split",1,"INLA",NA,NA,NA,NA,NA,"all"
"random_split",2,"Random Forest",0.75356945165463,0.0196388745915488,0.0113718292728147,0.00184646638887128,NA,"all"
"random_split",2,"XGBoost",0.950680488537171,0.00642619790427781,0.00414135337565854,0.000883416174122272,NA,"all"
"random_split",2,"SVM",0.682953693290775,0.0165419543834016,0.00809003214421145,-5.61514335644426e-05,NA,"all"
"random_split",2,"Neural Network",0.892138919128819,0.00970347534545895,0.00603317981844873,-0.000699093956663678,NA,"all"
"random_split",2,"GPR",0.94549520579321,0.00697742481982057,0.00484420801699198,0.00214971907910219,NA,"all"
"random_split",2,"Ordinary Kriging",0.928680298747839,0.00805363107096703,0.00442648707386935,0.000951811262054649,NA,"all"
"random_split",2,"Universal Kriging (env drift)",0.00218205361253032,43.8292393737958,10.1065986149458,-8.70288766949824,NA,"all"
"random_split",2,"GAM",0.123439295855438,0.0522085225393077,0.0142104108895716,0.00841649573433574,NA,"all"
"random_split",2,"INLA",NA,NA,NA,NA,NA,"all"
"random_split",3,"Random Forest",0.396575581766456,0.0374398138487789,0.0153489646687094,-0.0049735724088082,NA,"all"
"random_split",3,"XGBoost",0.643957760934454,0.0257546146525025,0.00647948700132321,-0.00368560473671494,NA,"all"
"random_split",3,"SVM",0.171100171037135,0.0411749393709273,0.0141674155245695,-0.0102764245820549,NA,"all"
"random_split",3,"Neural Network",0.294452413060625,0.0373951392093737,0.0127086132823248,-0.00459211132257157,NA,"all"
"random_split",3,"GPR",0.437235321409268,0.0323611590212253,0.0089364439668141,-0.00491157884030288,NA,"all"
"random_split",3,"Ordinary Kriging",0.534093104961952,0.0296478021106067,0.00825467419503778,-0.00459635602263096,NA,"all"
"random_split",3,"Universal Kriging (env drift)",0.000574232058423931,643.462402382025,74.7067178912525,-73.0673877215924,NA,"all"
"random_split",3,"GAM",0.344794798509379,0.0346502054627785,0.0120169061825471,-0.0029004496626825,NA,"all"
"random_split",3,"INLA",NA,NA,NA,NA,NA,"all"
"random_split",4,"Random Forest",0.696038668526483,0.0283373709845482,0.0140899601632626,-0.00563383444572673,NA,"all"
"random_split",4,"XGBoost",0.933133093488978,0.0113166216368141,0.00611854902599706,-0.0005031965017091,NA,"all"
