"kernel","n_features","feature_set","nug_min","nug_max","mean_r2","sd_r2","mean_rmse","sd_rmse","n_folds_valid"
"matern52",10,"10",1e-08,10,0.563426627844693,0.295408073870909,0.0212057524324696,0.0177768735665196,5
"matern32",15,"15",1e-06,10,0.550956382876072,0.319038798266403,0.0225593942519011,0.0201744201578111,5
"matern32",20,"20",1e-08,100,0.542329600156725,0.316473087804002,0.0259754243256859,0.0236701015660111,5
"gaussian",10,"10",1e-04,100,0.532362881144382,0.324188275630824,0.025429708315557,0.0211541349576929,5
"gaussian",15,"15",1e-08,10,0.528057834794029,0.327150067738543,0.0265538609144192,0.0264096384472248,5
"matern52",15,"15",1e-04,100,0.526663458790831,0.325906980893607,0.0268497955548175,0.0259166117147247,5
"matern32",20,"20",1e-06,100,0.50864730649365,0.313925788460182,0.0275585636679442,0.0259111692292511,5
"matern52",20,"20",1e-06,10,0.500525290098522,0.310927104768752,0.0271342355692016,0.0245154483000058,5
"matern32",10,"10",1e-06,10,0.49811932347081,0.264983630061465,0.0306727686660216,0.0215011178810798,5
"matern32",15,"15",1e-06,100,0.497664253498933,0.288806796204835,0.0313124813769053,0.0214491131708707,5
"gaussian",15,"15",1e-04,100,0.49442738764948,0.326493457404144,0.0272667857217254,0.0264351929371893,5
"matern32",15,"15",1e-08,10,0.494202971814048,0.345223921393188,0.0248977480649176,0.0230004825326955,5
"matern52",15,"15",1e-06,100,0.492631841254394,0.308110995673133,0.0343353109659852,0.0249763971609396,5
"matern32",10,"10",1e-04,10,0.49009393017724,0.290819347711981,0.0316111714718139,0.0217858151540911,5
"gaussian",5,"5",1e-08,100,0.489766749997069,0.252372825098093,0.0307856337910387,0.0211906895430395,5
"gaussian",5,"5",1e-06,10,0.488540802249557,0.256892449797864,0.0285864814550228,0.0197215987308747,5
"gaussian",20,"20",1e-06,10,0.487811338260708,0.309513830322591,0.0338650350293309,0.0231210712329838,5
"matern52",5,"5",1e-06,10,0.486753543311925,0.310107170438743,0.0238706196896038,0.0203238594148687,5
"matern32",10,"10",1e-04,100,0.486616733469784,0.280412023299677,0.0301173744964351,0.0210564152134819,5
"matern52",15,"15",1e-08,10,0.486508973552301,0.307301753317621,0.0344503113368243,0.025381007985929,5
"gaussian",10,"10",1e-04,10,0.485659115801671,0.28130159205516,0.0288154283859016,0.0190669823641914,5
"matern52",5,"5",1e-08,100,0.483640315079174,0.262130238812626,0.0294088280389178,0.0214629770120295,5
"gaussian",20,"20",1e-04,10,0.483307438392737,0.298971473610142,0.0346620093253694,0.025106397265484,5
"gaussian",15,"15",1e-06,10,0.480895672589422,0.287653385690658,0.0341245633094261,0.0245028401010809,5
"matern52",5,"5",1e-06,100,0.476864053211797,0.265314440167218,0.0248073688875336,0.0207779724462083,5
"matern32",20,"20",1e-04,100,0.475602048922872,0.288135855246786,0.0332294806173062,0.0230325807793786,5
"matern52",20,"20",1e-08,100,0.475405404022268,0.284069268141284,0.0345391680342301,0.023940951279095,5
"matern52",20,"20",1e-04,100,0.474459132038481,0.305309463620484,0.0345396560650557,0.0248652502090803,5
"gaussian",20,"20",1e-08,10,0.473444141748575,0.286772848080596,0.0343206276960206,0.0233454235309288,5
"matern32",5,"5",1e-04,100,0.472466171043694,0.283824423580776,0.0304584826360924,0.0208219312885212,5
