"step","configuration","mean_r2","sd_r2","mean_rmse","sd_rmse","n_folds_valid"
"1. Nugget","nug.min = 1e-08",0.140157418408419,0.193371332128946,0.0327288791472312,0.0176292120957422,5
"1. Nugget","nug.min = 1e-06",0.131612826470745,0.173778692383429,0.0363485665234145,0.0144937101796004,5
"1. Nugget","nug.min = 1e-04",0.131675513369355,0.173731472496558,0.0363475625381574,0.0144865084429443,5
"2. Kernel","Env only",0.140157418408419,0.193371332128946,0.0327288791472312,0.0176292120957422,5
"2. Kernel","matern32",0.189981071688124,0.18726341032091,0.03258634431609,0.0181429547935195,5
"2. Kernel","gaussian",0.140685561001048,0.172621877535712,0.0322680892724859,0.0137326506173495,5
"3. Spatial","Env only",0.189981071688124,0.18726341032091,0.03258634431609,0.0181429547935195,5
"3. Spatial","+ lat/lon",0.108482583845775,0.175354199095199,0.0353632247093481,0.0209876592086325,5
"3. Spatial","+ region",0.043587883711087,0.0714745540794585,0.0330155357202843,0.0189045640672388,5
"3. Spatial","+ lat/lon + region",0.0121227506453848,0.00851628822339648,0.0269763566364761,0.0186611074235403,5
"4. Categorical","Baseline (spatial)",0.189981071688124,0.18726341032091,0.03258634431609,0.0181429547935195,5
"4. Categorical","+ species",0.142016287835308,0.194995094208801,0.0409052607555143,0.0129647285622676,5
